,group_lab_name
"C1 Inhibitor, Quant",2
C3a des Arg Fragment,2
"Unlisted Immunology: Autoimmune Encephalopathy panel, blood sample.",2
"Arsenic Fractionation, Random Urine",2
Phenytoin Level Total and Free,2
"17-OH Progesterone, Neonatal",2
Pinworm Exam,2
Cytokines CSF,2
Dihydrotestosterone,2
CK Isoenzyme with Reflex,2
Unlisted Micro/ Viro: Chlamydophila antibody panel,2
Individual/Proband Clinical Exome Sequencing,2
Fanconi Mutation Analysis,2
"Research Lab Draw: M16-106: Venetoclax PK - Day 2, Hour 8",2
Research Lab Draw: AML16 Immune Repertoire: Due PRIOR to start of chemotherapy,2
Research Lab Draw: AbbVie - RAD52D mutation,2
"Arsenic, Random Urine",2
HIV 1 Integrase Resistance,2
Peanuts,2
"Viscosity, Serum",2
Hepatitis D RNA Qual PCR,2
Research Lab Draw: CCT5007/CCT5019 - Day 13 (CyTOF and Cytokines),2
HE4 Ovarian Cancer Monitoring,2
GBM IgG,2
Bartonella Henselae IgG Titer,2
Plasminogen,2
"Unlisted Micro/ Viro: Aspergillus Antibody, Serum",2
Hepatitis D Virus AB Total,2
Interleukin 5 Level,2
"Nickel, Serum",2
Research Lab Draw: BMT 179 ** RESEARCH BLOOD SAMPLE ** PURPLE TOP (Once),2
Testosterone Level (Adult),2
Glucose Check PRN,2
Thermal Amplitude Screen,2
Almond,2
Insulin Fasting,2
"Red Blood Cells, Emergency Release",2
Unlisted Chemistry: 2-5 mL Blood - lavender top tube to gene dx for schwachman diamond testing,2
"Glucose Tolerance for CF, 1 Hour",2
Unlisted Chemistry: Acetazolamide quantitative level,2
Aspergillus Mold,2
Research Lab Draw: AbbVie M16-106: PK - Hour 2,2
Research Lab Draw: M16-106: Venetoclax PK - Hour 1,2
"IGF-I, LC/MS",2
Growth Hormone Antibody,2
"Mucopolysaccharides, Urine",2
Research Lab Draw: BMT 179 ** RESEARCH BLOOD SAMPLE ** (PURPLE TOP:Every Monday),2
Unlisted Immunology: ENCEPHALOPATHY AUTOIMMUNE EVALUATION CSF,2
Misc Coagulation,2
"Unlisted Chemistry: infantile seizure panel, STAT epilepsy panel, sendout test to gene dx",2
Unlisted Chemistry: FUIQL Urine Indicans Qualitative Sendout to Mayo Clinical Labs,2
Research Lab Draw: Bass Center Tissue,2
AmniSure ROM,2
Unlisted Molecular: Autoimmune Encephalitis Panel,2
Research Lab Draw: M16-106: Venetoclax PK - Hour 6,2
"Unlisted Chemistry: Lavender tube, at least 4ml; for Adaptive Technologies immunoglobulin sequencing",2
Unlisted Chemistry: whole exome sequencing,2
Histoplasmosis AB,2
Research Lab Draw: AML16 Cell Free DNA: Due PRIOR to start of chemotherapy,2
Aspirin Resistance,2
"Research Lab Draw: M16-106: Venetoclax PK - Day 2, PRIOR to Venetoclax dose",2
"aPTT, ACLTOP Method",2
"Research Lab Draw: Abbvie M16-106, Biomarker sample PRE-DOSE Day 1",2
Research Lab Draw: BMT 179,2
Adrenal Antibody Screen with Reflex to Titer,2
Unlisted Immunology: Anti-neuronal antibody from CSF sample,2
7 Dehydrocholesterol,2
"Mercury Level, WB",2
Lipoprotein Associated Phospholipase A2,2
Chlamydia Trachomatis Culture,2
"Adenovirus DNA, PCR Qualitative",2
Unlisted Chemistry: lab 3229,2
11 Deoxycortisol,2
Wheat,2
C5,1
MOG FACS Titer,1
"Cysticercus Antibody Reflex Panel, CSF",1
Unlisted Molecular: succinyladenosine from CSF,1
Leishmania Antibody IgG,1
Epilepsy Advanced Sequencing Eval,1
Unlisted Immunology: liver cytosol autoantibody 1,1
"Neisseria Gonorrhoeae RNA, Throat",1
Unlisted Chemistry: Send out  to Mayo for LCMS Tacrolimus FK506,1
Trofile DNA,1
Trazodone Level,1
"Unlisted Micro/ Viro: Mycoplasma Pneumoniae Antibodies (IgG, IgM) Send-out test code 34127",1
"Progesterone Level, Pediatric",1
Entamoeba Histolytica AB,1
HLA Kit Processing Recipient,1
"Neuronal Ceroid Lipofuscinosis, PPT",1
"Histamine Level, WB",1
"Homocysteine Quant, Urine",1
Globulin,1
"Cadmium Level, WB",1
Unlisted Microbiology/ Virology Test,1
Glutaric Aciduria Type 1 (GA1),1
(NMO)/Aquaporin-4-IgG Cell Binding Assay,1
PNH Sequencing/Deletion (FLNA),1
"IgM, CSF",1
"CO2, Ser/Plas",1
Toll Like Receptor Function,1
Toxoplasma Newborn Panel,1
Hepatitis B e Antigen,1
C1 Esterase Inhib Pl,1
MtDNA Sequencing (MitoNGS),1
IGF Binding Protein-1,1
"Cocci CF AB, CSF (Follow-up Only)",1
"HSV 1 and 2 PCR, Aqueous FLD",1
Unlisted Chemistry: send out test to Duke biochemical genetics laboratory,1
Cytokines Intracellular,1
Dilated Cardiomyopathy Panel,1
HLA Specimen in Lab Orders - Donor,1
Mumps Rapid Culture,1
Desipramine Level,1
Parvovirus B19 Ab IgG,1
"NF 1 DNA, Comp",1
MSUD Mutation Analysis,1
Limb Girdle Muscular Dystrophy,1
"Creatinine Clearance, BLD",1
Adalimumab Ab,1
"Estrone, Serum",1
"H pylori, Urea Breath (Pediatric)",1
Familial Hibernian Fever/Traps,1
"AML Prognosis Assay, Bone Marrow",1
Unlisted Micro/ Viro: mumps,1
Copeptin proAVP,1
"Thyroid Stimulating Ig, Serum",1
Free T4 By Equilibrium Dialysis,1
"Unlisted Micro/ Viro: Mycoplasma Pneumoniae Antibodies (IgG, IgM)",1
"Cysticercus AB Reflex Panel, Serum",1
T Cell Activation,1
Glucose Tolerance Fasting,1
"Estrogen Total, Level",1
Epstein Barr Viral Capsid AG,1
17 Alpha Hydroxyprogesterone,1
Alagille (JAG1) Mutation,1
Caffeine Level,1
Unlisted Lab: Infantile botulism treatment and prevention program stool specimen,1
Hepatitis B e AB,1
Congenital Cyclic Neurtopenia,1
SPECIFIC HLA AG TYPE,1
Von Hippel-Lindau Syndrome,1
Vasopressin/ADH Level,1
"Manganese, WB",1
Fibrospect HCV,1
ACH Receptor Binding Ab,1
Pm 1 Antibody,1
Wiskott Aldrich Syndrome,1
"Chloride, Ser/Plas",1
Prothrombin Fragment 1+2,1
inFLIXimab Serum Level and Ab,1
CU Index Panel,1
"D Dimer, Elisa",1
Unlisted Immunology: anti-ribosomal P from CSF sample,1
"Phospholipids, Serum",1
JCV Virus Antibody Inhibition,1
"HDL, Serum",1
quiNIDine Level,1
Unlisted Molecular: Whole exome sequence (send-out lab). 10ml in purple top tube.,1
Bartonella Henselae IgM Titer,1
Cold Antibody Titer,1
"Neuronal Ceroid Lipofuscinosis, TPP",1
SRA Unfractionated Heparin Level,1
Gastric pH Strip (POC) PRN,1
MD/APP to RN Communication -- Please hold suction on NG for one hour following administration of Prograf,1
"Cholesterol, FLD",1
"IgA, CSF",1
Pleximmune,1
Unlisted Cyto: CLN5 Full sequence with MLPA-deletion/duplication DNA test (send-out lab),1
